tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
actionlint,godotengine_godot_cache_cleanup__syntax.yml,syntax,syntax,1,1,0.0076,1,0
actionlint,huggingface_transformers_self-past-caller__registry.yml,registry,unknown_input,0,0,0.0062,0,0
actionlint,huggingface_transformers_self-past-caller__syntax.yml,syntax,syntax,1,1,0.0050,1,0
actionlint,langchain-ai_langchain_check-broken-links__registry.yml,registry,unknown_input,1,1,0.0113,1,0
actionlint,langchain-ai_langchain_check-broken-links__syntax.yml,syntax,syntax,1,1,0.0080,1,0
actionlint,langflow-ai_langflow_add-labels__execution.yml,execution,nonexistent-seed-job,1,1,0.0130,1,0
actionlint,langflow-ai_langflow_add-labels__registry.yml,registry,unknown_input,0,1,0.0073,1,0
actionlint,langflow-ai_langflow_add-labels__schema.yml,schema,shell,1,1,0.0139,1,0
actionlint,langflow-ai_langflow_add-labels__syntax.yml,syntax,syntax,1,1,0.0072,1,0
actionlint,langflow-ai_langflow_lint-py__registry.yml,registry,unknown_input,1,1,0.0110,1,0
actionlint,langflow-ai_langflow_lint-py__syntax.yml,syntax,syntax,1,1,0.0084,1,0
actionlint,microsoft_PowerToys_dependency-review__execution.yml,execution,nonexistent-seed-job,1,1,0.0116,1,0
actionlint,microsoft_PowerToys_dependency-review__schema.yml,schema,shell,1,1,0.0113,1,0
actionlint,microsoft_PowerToys_dependency-review__syntax.yml,syntax,syntax,1,1,0.0094,1,0
actionlint,microsoft_TypeScript_codeql__registry.yml,registry,unknown_input,0,0,0.0067,0,0
actionlint,microsoft_TypeScript_codeql__schema.yml,schema,shell,1,1,0.0092,1,0
actionlint,microsoft_TypeScript_codeql__syntax.yml,syntax,syntax,1,1,0.0106,1,0
actionlint,microsoft_Web-Dev-For-Beginners_lock__execution.yml,execution,nonexistent-seed-job,1,1,0.0139,1,0
actionlint,microsoft_Web-Dev-For-Beginners_lock__registry.yml,registry,unknown_input,0,0,0.0068,0,0
actionlint,microsoft_Web-Dev-For-Beginners_lock__schema.yml,schema,shell,1,1,0.0127,1,0
actionlint,microsoft_Web-Dev-For-Beginners_lock__syntax.yml,syntax,syntax,1,1,0.0081,1,0
actionlint,microsoft_vscode_monaco-editor__registry.yml,registry,unknown_input,1,1,0.0101,1,0
actionlint,microsoft_vscode_monaco-editor__syntax.yml,syntax,syntax,1,1,0.0065,1,0
